Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01_launch petstore,3,806,772,853,34.32,0.000%,.03512,0.18,0.02,5356.0
01_Launch Petstore,3,806,772,853,34.32,0.000%,.03388,0.18,0.02,5356.0
02_click on enter the store,3,185,184,188,1.70,0.000%,.03540,0.15,0.02,4237.7
02_enter the store,3,185,184,188,1.70,0.000%,.03418,0.14,0.02,4237.7
03_click on sign in,6,370,314,413,41.45,0.000%,.06822,0.05,0.26,806.3
04_login-user credentials,3,392,379,418,18.15,0.000%,.03533,0.19,0.06,5432.0
04_login,6,382,184,604,196.58,0.000%,.06585,0.51,0.09,7918.0
05_catalog-choose category,3,185,184,186,0.82,0.000%,.03547,0.14,0.02,4130.0
05_catalog,3,185,184,186,0.82,0.000%,.03422,0.14,0.02,4130.0
Debug Sampler - category,3,2,1,4,1.41,0.000%,.03555,0.01,0.00,289.0
06_Choose any product-51,3,201,199,203,1.70,0.000%,.03546,0.14,0.02,4022.0
06_Choose any product,3,201,199,203,1.70,0.000%,.03424,0.13,0.02,4022.0
Debug Sampler - product,3,0,0,1,0.47,0.000%,.03555,0.01,0.00,290.0
07_Add to cart,6,199,197,203,2.49,0.000%,.06849,0.33,0.04,4865.0
08_proceed,6,187,185,191,2.62,0.000%,.06851,0.38,0.04,5615.0
09_continue,6,194,187,208,9.67,0.000%,.06851,0.32,0.08,4741.0
10_confirm,6,188,188,189,0.47,0.000%,.06853,0.36,0.04,5437.0
TOTAL,69,269,0,853,203.18,0.000%,.54345,2.31,0.55,4359.4
